Relation	Inverse_Relation
RO_0002006	RO_0002130
RO_0002130	RO_0002006
RO_0002204	RO_0002205
RO_0002205	RO_0002204
RO_0002327	RO_0002333
RO_0002333	RO_0002327
RO_0002556	RO_0002557
RO_0002557	RO_0002556
RO_0002638	RO_0002639
RO_0002639	RO_0002638
RO_0008501	RO_0008502
RO_0008502	RO_0008501
RO_0002455	RO_0002456
RO_0002456	RO_0002455
RO_0002559	RO_0002566
RO_0002566	RO_0002559
RO_0002206	RO_0002292
RO_0002292	RO_0002206
RO_0004003	RO_0004013
RO_0004013	RO_0004003
RO_0002085	RO_0002092
RO_0002092	RO_0002085
RO_0004001	RO_0004011
RO_0004011	RO_0004001
RO_0002234	RO_0002353
RO_0002353	RO_0002234
RO_0002022	RO_0002578
RO_0002578	RO_0002022
RO_0002524	RO_0002525
RO_0002525	RO_0002524
RO_0002106	RO_0002112
RO_0002112	RO_0002106
RO_0002404	RO_0002411
RO_0002411	RO_0002404
RO_0002622	RO_0002623
RO_0002623	RO_0002622
RO_0002156	RO_0002157
RO_0002157	RO_0002156
RO_0002200	RO_0002201
RO_0002201	RO_0002200
RO_0004002	RO_0004012
RO_0004012	RO_0004002
RO_0002208	RO_0002209
RO_0002209	RO_0002208
RO_0003000	RO_0003001
RO_0003001	RO_0003000
RO_0002105	RO_0002109
RO_0002109	RO_0002105
RO_0002302	RO_0002606
RO_0002606	RO_0002302
RO_0002439	RO_0002458
RO_0002458	RO_0002439
RO_0001018	RO_0001019
RO_0001019	RO_0001018
RO_0002114	RO_0002115
RO_0002115	RO_0002114
RO_0002551	RO_0002576
RO_0002576	RO_0002551
RO_0002102	RO_0002110
RO_0002110	RO_0002102
RO_0002217	RO_0002218
RO_0002218	RO_0002217
RO_0002472	RO_0002558
RO_0002558	RO_0002472
RO_0002529	RO_0002529
RO_0002529	RO_0002529
RO_0002023	RO_0002630
RO_0002630	RO_0002023
RO_0004006	RO_0004016
RO_0004016	RO_0004006
RO_0010001	RO_0010002
RO_0010002	RO_0010001
RO_0002518	RO_0002519
RO_0002519	RO_0002518
RO_0002615	RO_0003301
RO_0003301	RO_0002615
RO_0002405	RO_0002412
RO_0002412	RO_0002405
RO_0002024	RO_0002629
RO_0002629	RO_0002024
RO_0002233	RO_0002352
RO_0002352	RO_0002233
RO_0002510	RO_0002511
RO_0002511	RO_0002510
RO_0002516	RO_0002517
RO_0002517	RO_0002516
RO_0001021	RO_0001023
RO_0001023	RO_0001021
RO_0004004	RO_0004014
RO_0004014	RO_0004004
RO_0002636	RO_0002637
RO_0002637	RO_0002636
RO_0002485	RO_0002486
RO_0002486	RO_0002485
RO_0002640	RO_0002641
RO_0002641	RO_0002640
RO_0002553	RO_0002554
RO_0002554	RO_0002553
RO_0002219	RO_0002221
RO_0002221	RO_0002219
RO_0002256	RO_0002257
RO_0002257	RO_0002256
RO_0002248	RO_0002249
RO_0002249	RO_0002248
RO_0008503	RO_0008504
RO_0008504	RO_0008503
RO_0002005	RO_0002134
RO_0002134	RO_0002005
RO_0002212	RO_0002335
RO_0002335	RO_0002212
RO_0002457	RO_0002469
RO_0002469	RO_0002457
RO_0002297	RO_0002354
RO_0002354	RO_0002297
RO_0002500	RO_0002608
RO_0002608	RO_0002500
RO_0002252	RO_0002253
RO_0002253	RO_0002252
RO_0002522	RO_0002523
RO_0002523	RO_0002522
RO_0002626	RO_0002627
RO_0002627	RO_0002626
RO_0001020	RO_0001022
RO_0001022	RO_0001020
RO_0004000	RO_0004010
RO_0004010	RO_0004000
RO_0002624	RO_0002625
RO_0002625	RO_0002624
RO_0002418	RO_0002427
RO_0002427	RO_0002418
RO_0002459	RO_0002460
RO_0002460	RO_0002459
RO_0004005	RO_0004015
RO_0004015	RO_0004005
RO_0002103	RO_0002120
RO_0002120	RO_0002103
RO_0002634	RO_0002635
RO_0002635	RO_0002634
RO_0002202	RO_0002203
RO_0002203	RO_0002202
RO_0002444	RO_0002445
RO_0002445	RO_0002444
RO_0002632	RO_0002633
RO_0002633	RO_0002632
RO_0002213	RO_0002336
RO_0002336	RO_0002213
RO_0002507	RO_0002508
RO_0002508	RO_0002507
RO_0002380	RO_0002569
RO_0002569	RO_0002380
RO_0002211	RO_0002334
RO_0002334	RO_0002211
RO_0002258	RO_0002286
RO_0002286	RO_0002258
RO_0008507	RO_0008508
RO_0008508	RO_0008507
RO_0004017	RO_0004018
RO_0004018	RO_0004017
RO_0002101	RO_0002132
RO_0002132	RO_0002101
RO_0002291	RO_0002293
RO_0002293	RO_0002291
RO_0002618	RO_0002619
RO_0002619	RO_0002618
RO_0002512	RO_0002513
RO_0002513	RO_0002512
RO_0002107	RO_0002108
RO_0002108	RO_0002107
RO_0002254	RO_0002255
RO_0002255	RO_0002254
RO_0002207	RO_0002210
RO_0002210	RO_0002207
